repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
0,20260917,paper_nm,RMS-H,SUT-B,20,1,2,5,False,0,0,21,21,21,0,0,0.0,133.60000000000002,2.722733300019172,0.0008296000014524907,1.800013706088066e-06,0.44910179640718556,2.830551499995636
0,20260917,paper_nm,2SMS-H,SUT-B,20,0,4,censored,True,0,0,21,21,21,0,0,0.0,140.00000000000003,2.874620800022967,0.0008333999867318198,1.700012944638729e-06,0.0,2.977944199999911
0,20260917,paper_nm,RMS+SEM-H,SUT-B,20,15,17,1,False,0,0,1500,1500,1500,379,0,0.0,59.800000000000004,1.2744834999612067,0.022618199975113384,0.21379079998587258,15.050167224080267,1.6415985000057844
0,20260917,paper_nm,2SMS+SEM-H,SUT-B,20,17,18,1,False,0,0,1800,1800,1800,436,0,0.0,49.000000000000014,1.116622199959238,0.029581400012830272,0.25181510001129936,20.81632653061224,1.53219870000612
0,20260917,matched_nm100,RMS-H,SUT-B,20,2,4,2,False,0,0,800,800,800,0,0,0.0,129.00000000000003,2.6190668000053847,0.013553099968703464,1.3299999409355223e-05,0.9302325581395348,2.7430787999910535
0,20260917,matched_nm100,2SMS-H,SUT-B,20,1,1,3,False,0,0,700,700,700,0,0,0.0,134.80000000000004,2.8882371000072453,0.013356499985093251,1.9000144675374031e-06,0.4451038575667654,3.0128831999900285
0,20260917,matched_nm100,RMS+SEM-H,SUT-B,20,14,15,1,False,0,0,1500,1500,1500,329,0,0.0,65.60000000000001,1.4427682999958051,0.025572399972588755,0.22954989998834208,12.804878048780486,1.8275684999971418
0,20260917,matched_nm100,2SMS+SEM-H,SUT-B,20,11,14,1,False,0,0,1400,1400,1400,494,0,0.0,81.19999999999997,1.6817638999782503,0.023411400004988536,0.19163499999558553,8.128078817733993,2.0272979000001214
1,20260918,paper_nm,RMS-H,SUT-B,20,0,1,censored,True,0,0,21,21,21,0,0,0.0,140.00000000000003,3.0341032999567688,0.0009493999677943066,1.6999983927235007e-06,0.0,3.1487873000005493
1,20260918,paper_nm,2SMS-H,SUT-B,20,0,4,censored,True,0,0,21,21,21,0,0,0.0,140.00000000000003,2.9916683999908855,0.0008865999989211559,2.0999868866056204e-06,0.0,3.098146900010761
1,20260918,paper_nm,RMS+SEM-H,SUT-B,20,15,18,1,False,0,0,1600,1600,1600,372,0,0.0,60.20000000000003,1.4604663999925833,0.02642020003986545,0.23426329996436834,14.950166112956802,1.860650299990084
1,20260918,paper_nm,2SMS+SEM-H,SUT-B,20,12,14,1,False,0,0,1400,1400,1400,394,0,0.0,76.20000000000002,1.642423699988285,0.02416780003113672,0.21288870001444593,9.448818897637793,2.008853999999701
1,20260918,matched_nm100,RMS-H,SUT-B,20,2,3,10,False,0,0,800,800,800,0,0,0.0,129.20000000000002,2.683437799991225,0.013742400013143197,1.6599995433352888e-05,0.9287925696594426,2.8100021999998717
