seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-full-2,exact,full,0.3,42,483,1.0,0.972975837370945
20261103,Target-exact-full-2,exact,full,0.3,43,419,1.0,0.9722943895551699
20261103,Target-exact-full-2,exact,full,0.3,44,471,1.0,0.9720080148735972
20261103,Target-exact-full-2,exact,full,0.3,45,79,0.9999999999999999,0.9742400815036454
20261103,Target-exact-full-2,exact,full,0.3,46,83,1.0,0.9719945778931676
20261103,Target-exact-full-2,exact,full,0.3,47,99,1.0,0.9677476106269147
20261103,Target-exact-full-2,exact,full,0.3,48,27,1.0,0.9677099432662397
20261103,Target-exact-full-2,exact,full,0.3,49,75,1.0,0.967674582567147
20261103,Target-exact-full-2,exact,full,0.3,50,91,1.0,0.9667964704865898
20261103,Target-interpolated-global-1,interpolated,global,0.3,1,487,1.0,0.9853312896884994
20261103,Target-interpolated-global-1,interpolated,global,0.3,2,495,1.0,0.9850987877943045
20261103,Target-interpolated-global-1,interpolated,global,0.3,3,87,1.0,0.9818305724516992
20261103,Target-interpolated-global-1,interpolated,global,0.3,4,491,1.0,0.9801745607583277
20261103,Target-interpolated-global-1,interpolated,global,0.3,5,502,1.0,0.9800182563051595
20261103,Target-interpolated-global-1,interpolated,global,0.3,6,499,1.0,0.9758434633217383
20261103,Target-interpolated-global-1,interpolated,global,0.3,7,79,1.0,0.9742399828062068
20261103,Target-interpolated-global-1,interpolated,global,0.3,8,187,1.0,0.9733884698613895
20261103,Target-interpolated-global-1,interpolated,global,0.3,9,292,1.0,0.9579671145957582
20261103,Target-interpolated-global-1,interpolated,global,0.3,10,385,1.0,0.8911710245368362
20261103,Target-interpolated-global-1,interpolated,global,0.3,11,195,1.0,0.9729466030333406
20261103,Target-interpolated-global-1,interpolated,global,0.3,12,83,1.0,0.9719939711308789
20261103,Target-interpolated-global-1,interpolated,global,0.3,13,191,1.0,0.9692100006036676
20261103,Target-interpolated-global-1,interpolated,global,0.3,14,99,1.0,0.9677463035388425
20261103,Target-interpolated-global-1,interpolated,global,0.3,15,199,1.0,0.9638493758368628
20261103,Target-interpolated-global-1,interpolated,global,0.3,16,183,1.0,0.963376255760633
20261103,Target-interpolated-global-1,interpolated,global,0.3,17,534,1.0,0.9583864925537718
20261103,Target-interpolated-global-1,interpolated,global,0.3,18,175,1.0,0.9008403989644456
20261103,Target-interpolated-global-1,interpolated,global,0.3,19,171,1.0,0.9087718208581719
20261103,Target-interpolated-global-1,interpolated,global,0.3,20,179,1.0,0.9126075555036983
20261103,Target-interpolated-global-1,interpolated,global,0.3,21,296,1.0,0.8992859182180852
20261103,Target-interpolated-global-1,interpolated,global,0.3,22,288,1.0,0.9013228483945728
20261103,Target-interpolated-global-1,interpolated,global,0.3,23,272,1.0,0.9042286617360331
20261103,Target-interpolated-global-1,interpolated,global,0.3,24,389,1.0,0.8968540466334711
20261103,Target-interpolated-global-1,interpolated,global,0.3,25,393,1.0,0.9032891483647981
20261103,Target-interpolated-global-1,interpolated,global,0.3,26,397,1.0,0.9053261832721504
20261103,Target-interpolated-global-1,interpolated,global,0.3,27,526,1.0,0.8944669210618228
20261103,Target-interpolated-global-1,interpolated,global,0.3,28,518,1.0,0.8696517456026374
20261103,Target-interpolated-global-1,interpolated,global,0.3,29,387,1.0,0.8500000000000001
20261103,Target-interpolated-global-1,interpolated,global,0.3,30,395,1.0,0.8500000000000001
20261103,Target-interpolated-global-1,interpolated,global,0.3,31,570,1.0,0.8500000000000001
20261103,Target-interpolated-global-1,interpolated,global,0.3,32,574,1.0,0.8500000000000001
20261103,Target-interpolated-global-1,interpolated,global,0.3,33,578,1.0,0.8500000000000001
